"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"     C/2017 M5 (TOTAS)",1.0037,5.990,15.88,216.26,92.66,,2018-06-02.9,,HYP,1366,,461,,,,,
"     C/2017 O1 (ASASSN)",0.9964,1.499,39.85,25.81,20.91,837.04,2017-10-14.7,8.59e+03,COM,601,,2877,,,,,
"     P/2017 P1 (PANSTARRS)",0.3085,5.438,7.70,221.39,122.27,10.29,2018-06-18.5,22.1,JFc,446,5,46,,,,,
"     C/2017 P2 (PANSTARRS)",0.9980,2.462,50.08,165.55,132.24,2418.79,2017-12-06.5,4.21e+04,COM,307,,50,,,,,
"     C/2017 S2 (PANSTARRS)",0.8231,3.615,12.68,62.43,305.97,37.25,2017-08-29.3,92.4,JFc,175,4,67,,,,,
"     C/2017 S3 (PANSTARRS)",1.0001,0.208,99.04,171.04,255.89,,2018-08-15.9,,HYP,351,,986,,,,,
"     C/2017 S6 (Catalina)",1.0014,1.543,152.83,130.87,134.69,,2018-02-26.9,,HYP,337,,247,,,,,
"     C/2017 S7 (Lemmon)",1.0025,7.614,124.22,262.79,187.75,,2017-05-27.8,,HYP,1056,,157,,,,,
"     P/2017 S8 (PANSTARRS)",0.3935,1.683,29.85,191.80,254.57,3.87,2018-01-28.6,4.62,ETc,137,4,178,,,,,
"     C/2017 T1 (Heinze)",1.0003,0.581,96.83,102.32,96.92,,2018-02-21.7,,HYP,262,,1005,,4.7e-08,-1.6e-08,,
"     C/2017 T2 (PANSTARRS)",0.9997,1.615,57.23,64.38,92.99,10014.49,2020-05-04.9,3.54e+05,COM,1434,,6922,,3.6e-08,-7.5e-10,-3.2e-10,-46.7
"     C/2017 T3 (ATLAS)",0.9994,0.825,88.11,230.09,246.89,2687.57,2018-07-19.1,4.93e+04,COM,535,,542,,5.1e-08,1.1e-08,,
"     P/2017 TW13 (Lemmon)",0.7098,2.079,44.84,322.28,120.11,12.25,2018-06-20.9,19.2,JFC,718,3,208,,,,,
"     C/2017 U2 (Fuls)",1.0000,6.701,95.43,149.71,147.73,,2017-08-28.1,,HYP,416,,59,,,,,
"     P/2017 U3 (PANSTARRS)",0.1000,4.443,15.91,165.15,297.46,5.43,2019-04-21.8,11,JFc,454,4,73,,,,,
"     C/2017 U4 (PANSTARRS)",1.0030,7.724,158.23,245.95,159.18,,2018-09-25.6,,HYP,1150,,85,,,,,
"     C/2017 U5 (PANSTARRS)",0.7446,4.327,18.96,163.12,262.15,29.55,2017-12-19.1,69.7,JFc,114,4,92,,,,,
"     C/2017 U7 (PANSTARRS)",1.0016,6.418,142.64,276.23,326.07,,2019-09-11.7,,HYP,1811,,915,,,,,
"     C/2017 W2 (Leonard)",0.7113,3.957,98.18,312.81,169.16,23.45,2017-11-01.9,50.7,HTC,384,4,169,,,,,
"     P/2017 W3 (Gibbs)",0.5039,3.837,18.32,210.75,326.46,11.63,2018-02-25.0,21.5,JFc,198,4,142,,,,,
"     C/2017 X1 (PANSTARRS)",0.8511,4.663,31.31,251.13,283.11,57.97,2018-06-14.4,175,JFc,893,3,127,,,,,
"     C/2017 Y1 (PANSTARRS)",0.9990,3.719,55.24,307.51,134.45,7578.78,2017-08-31.4,2.33e+05,COM,480,,92,,,,,
"     C/2017 Y2 (PANSTARRS)",1.0010,4.632,128.42,65.99,147.86,,2020-11-04.5,,HYP,1680,,961,,,,,
"     P/2017 Y3 (Leonard)",0.8707,1.275,27.59,153.87,67.53,18.45,2018-02-11.2,31,HTC,265,4,93,,,,,
"     C/2018 A1 (PANSTARRS)",0.9044,2.419,53.56,336.62,96.39,48.19,2017-10-20.4,127,HTC,156,4,118,,,,,
"     C/2018 A3 (ATLAS)",0.9934,3.277,139.56,194.28,86.43,988.63,2019-01-12.8,1.1e+04,COM,1018,,1589,,,,,
"     C/2018 A4 (PANSTARRS)",0.8044,2.403,3.15,97.63,356.14,22.16,2018-05-18.8,43,JFc,182,5,79,,,,,
"     P/2018 A5 (PANSTARRS)",0.5230,2.694,23.58,87.83,359.68,8.60,2017-09-23.8,13.4,JFc,393,4,36,,,,,
"     C/2018 A6 (Gibbs)",0.8034,3.018,76.95,340.39,264.54,27.69,2019-07-14.3,60.2,HTC,2390,2,915,,,,,
"     C/2018 B1 (Lemmon)",1.0030,5.117,162.42,133.17,68.35,,2018-03-30.4,,HYP,1018,,316,,,,,
"     P/2018 C1 (Lemmon-Read)",0.5345,2.596,5.13,270.45,234.33,8.56,2018-02-25.5,13.2,JFc,133,4,121,,,,,
"     C/2018 C2 (Lemmon)",1.0018,1.957,34.45,91.14,134.14,,2018-06-02.2,,HYP,272,,1672,,,,,
"     C/2018 DO4 (Lemmon)",0.9070,2.406,160.47,251.13,175.97,49.31,2019-08-18.4,131,HTC,2269,1,660,,,,,
"     C/2018 E1 (ATLAS)",0.9503,2.705,72.48,146.84,299.47,106.27,2018-04-17.3,402,COM,1351,2,227,,,,,
"     C/2018 E2 (Barros)",0.9976,3.922,97.74,67.20,277.48,3265.63,2017-12-23.6,6.61e+04,COM,1686,,62,,,,,
"     C/2018 EN4 (NEOWISE)",0.9214,1.448,81.56,136.17,35.01,35.40,2018-06-07.7,79.1,HTC,213,4,77,,,,,
"     C/2018 EF9 (Lemmon)",0.9976,1.557,84.69,172.58,72.62,1281.83,2018-05-23.1,1.63e+04,COM,186,,191,,,,,
"     C/2018 F1 (Grauer)",0.9907,2.993,46.07,177.29,71.63,641.41,2018-12-14.0,5.78e+03,COM,594,,221,,,,,
"     C/2018 F3 (Johnson)",1.0000,2.483,105.53,173.03,293.01,,2017-08-15.2,,HYP,17,,51,T,,,,
"     C/2018 F4 (PANSTARRS)",1.0015,3.440,78.10,26.51,263.20,,2019-12-04.0,,HYP,1330,,530,,,,,
"     C/2018 F4-A (PANSTARRS)",1.0013,3.440,78.10,26.51,263.22,,2019-12-04.1,,HYP,442,,146,,,,,
"     C/2018 F4-B (PANSTARRS)",1.0014,3.440,78.09,26.51,263.21,,2019-12-04.0,,HYP,420,,167,,,,,
"     P/2018 H2 (PANSTARRS)",0.5400,2.027,7.39,68.46,120.23,6.79,2018-01-23.4,9.25,JFc,207,5,169,,,,,
"     C/2018 K1 (Weiland)",0.9372,1.879,164.19,260.00,325.00,57.98,2018-04-06.8,164,HTC,251,4,163,,,,,
"     C/2018 KJ3 (Lemmon)",0.9958,3.627,136.67,91.59,217.71,1729.53,2019-09-09.9,2.55e+04,COM,614,,465,,,,,
"     P/2018 L1 (PANSTARRS)",0.4833,1.886,10.59,268.63,17.89,5.41,2018-11-12.5,6.97,JFc,162,5,69,,,,,
"     C/2018 L2 (ATLAS)",0.9930,1.712,67.42,243.02,56.23,486.05,2018-12-02.5,3.81e+03,COM,996,,731,,-2.7e-08,-1.8e-09,,
"     P/2018 L4 (PANSTARRS)",0.6603,1.676,26.63,145.19,140.43,8.19,2018-07-31.8,11,JFc,149,4,129,,,,,
"     C/2018 M1 (Catalina)",0.9387,1.303,37.26,339.46,14.13,41.22,2018-07-10.0,98.1,HTC,206,4,171,,,,,
"     C/2018 N1 (NEOWISE)",0.9969,1.307,159.44,292.44,354.56,842.62,2018-08-01.9,8.67e+03,COM,295,,263,,,,,
"     C/2018 N2 (ASASSN)",1.0002,3.125,77.53,25.26,24.40,,2019-11-10.9,,HYP,1421,,4653,,,,,
"     C/2018 O1 (ATLAS)",0.9441,1.558,154.04,87.62,162.50,54.19,2018-08-31.5,147,HTC,78,6,331,,,,,
"     P/2018 P4 (PANSTARRS)",0.4493,3.666,23.11,353.11,8.12,9.65,2018-11-07.3,17.2,JFc,147,4,116,,,,,
"     C/2018 P5 (PANSTARRS)",0.6409,4.576,7.26,216.24,131.63,20.91,2019-02-26.2,45.5,JFc,597,4,93,,,,,
"     C/2018 R3 (Lemmon)",0.9993,1.291,69.72,324.63,112.88,3938.91,2019-06-07.1,8.74e+04,COM,573,,272,,,,,
"     C/2018 R4 (Fuls)",0.9944,1.709,11.68,298.46,345.15,604.26,2018-03-03.6,5.27e+03,COM,125,,114,,,,,
"     C/2018 R5 (Lemmon)",0.8416,3.621,103.76,171.14,178.01,42.09,2019-01-09.9,109,HTC,131,5,187,,,,,
"     C/2018 S2 (TESS)",0.6149,5.471,64.22,85.13,290.68,22.94,2018-11-05.1,53.5,HTC,585,4,803,,,,,
"     C/2018 S3 (TESS)",1.0013,8.000,78.42,24.98,263.85,,2016-06-29.5,,HYP,1750,,35,,,,,
"     C/2018 U1 (Lemmon)",1.0008,4.994,108.30,75.48,180.42,,2021-11-02.8,,HYP,1686,,2457,,,,,
"     C/2018 V1 (Machholz-Fujikawa-Iwamoto)",1.0004,0.387,143.99,128.72,88.77,,2018-12-03.5,,HYP,37,,750,,,,,
"     C/2018 V2 (ATLAS)",0.9029,2.475,159.11,356.79,318.66,48.49,2018-11-26.9,129,HTC,297,3,173,,,,,
"     P/2018 VN2 (Leonard)",0.4777,2.123,18.24,226.55,138.78,6.00,2018-06-05.3,8.19,JFc,164,4,114,,,,,
"     C/2018 V4 (Africano)",0.9848,3.199,69.00,78.38,0.01,418.49,2019-03-01.6,3.06e+03,COM,125,,159,,,,,
"     P/2018 V5 (Trujillo-Sheppard)",0.4746,4.708,10.58,171.33,260.81,13.21,2018-10-03.8,26.8,JFc,851,4,21,,,,,
"     C/2018 W1 (Catalina)",0.9377,1.360,83.28,233.59,251.25,42.28,2019-05-11.8,102,HTC,552,2,287,,,,,
"     C/2018 W2 (Africano)",1.0008,1.455,116.62,181.85,157.97,,2019-09-05.7,,HYP,566,,1995,,,,,
"     C/2018 X2 (Fitzsimmons)",0.9863,2.126,23.07,340.83,162.05,307.77,2019-07-08.5,1.93e+03,COM,392,,390,,,,,
"     C/2018 X3 (PANSTARRS)",0.7827,2.699,43.37,78.92,359.83,22.14,2018-12-30.7,43.8,HTC,92,5,50,,,,,
"     C/2018 Y1 (Iwamoto)",0.9911,1.287,160.40,147.48,358.06,287.25,2019-02-07.0,1.73e+03,COM,348,,2771,,,,,
"     P/2018 Y2 (Africano)",0.4793,3.893,11.68,297.26,162.50,11.06,2019-01-02.5,20.4,JFc,101,4,81,,,,,
"     P/2019 A1 (PANSTARRS)",0.5689,2.212,13.74,312.30,150.85,8.05,2018-10-11.0,11.6,JFc,86,5,63,,,,,
"     P/2019 A2 (ATLAS)",0.3820,3.543,14.86,139.46,324.23,7.92,2018-11-21.4,13.7,JFc,922,3,284,,,,,
"     P/2019 A3 (PANSTARRS)",0.2652,2.313,15.37,31.32,325.48,3.98,2018-08-01.8,5.58,ETc,1332,2,66,,,,,
"     P/2019 A4 (PANSTARRS)",0.0896,2.379,13.32,119.30,341.84,2.85,2018-12-05.2,4.23,ETc,116,4,85,,,,,
"     C/2019 A5 (PANSTARRS)",0.7079,6.324,67.54,146.62,356.04,36.97,2019-06-09.4,101,HTC,530,3,70,,,,,
"     P/2019 A6 (Lemmon-PANSTARRS)",0.6392,1.939,33.23,280.27,156.31,8.81,2018-08-29.3,12.5,JFc,111,5,55,,,,,
"     P/2019 A8 (PANSTARRS)",0.4274,1.873,2.97,127.89,20.38,4.67,2018-08-30.7,5.91,ETc,55,8,37,,,,,
"     C/2019 A9 (PANSTARRS)",0.9633,1.426,84.34,278.37,237.80,76.22,2019-07-26.5,242,COM,546,2,199,,,,,
"     C/2019 B1 (Africano)",0.9897,1.597,123.36,290.43,174.88,309.26,2019-03-19.9,1.94e+03,COM,105,,161,,,,,
"     P/2019 B2 (Groeller)",0.3729,2.417,16.83,176.46,358.71,5.29,2019-06-08.0,7.56,JFc,181,4,187,,,,,
"     C/2019 B3 (PANSTARRS)",1.0021,6.823,66.54,358.43,263.92,,2021-01-20.1,,HYP,1728,,293,,,,,
"     C/2019 C1 (ATLAS)",0.9921,6.581,36.02,212.40,319.19,1659.34,2020-05-05.7,2.4e+04,JFc,907,,739,,,,,
"     C/2019 D1 (Flewelling)",0.9885,1.578,34.10,231.72,70.48,273.96,2019-05-11.8,1.62e+03,COM,281,,797,,,,,
"     C/2019 E3 (ATLAS)",1.0018,10.314,84.30,347.25,280.65,,2023-11-13.9,,HYP,4619,,938,,,,,
"     C/2019 F1 (ATLAS-Africano)",1.0035,3.596,54.18,38.73,251.11,,2021-06-22.7,,HYP,1818,,1964,,1.3e-08,-4.3e-09,8.2e-09,
"     C/2019 F2 (ATLAS)",0.8651,2.233,19.19,175.87,10.95,30.86,2019-09-08.8,67.3,JFc,510,3,666,,,,,
"     C/2019 G2 (PANSTARRS)",0.9967,2.291,159.21,208.14,82.65,1396.83,2019-12-10.0,1.85e+04,COM,564,,120,,,,,
"     C/2019 G4 (PANSTARRS)",1.0001,5.865,138.39,130.46,288.00,,2018-09-16.6,,HYP,64,,7,,,,,
"     P/2019 GG21 (PANSTARRS)",0.4740,3.932,6.08,340.58,208.79,11.02,2019-05-12.8,20.4,JFc,104,5,60,,,,,
"     C/2019 H1 (NEOWISE)",0.9922,1.845,104.58,269.19,19.28,470.82,2019-04-27.7,3.63e+03,COM,283,,165,,,,,
"     C/2019 J1 (Lemmon)",0.9654,2.479,24.55,98.09,167.79,140.61,2019-04-09.3,605,COM,200,3,192,,,,,
"     C/2019 J2 (Palomar)",0.9977,1.727,105.14,25.47,98.70,1483.19,2019-07-19.7,2.02e+04,COM,96,,312,,,,,
"     C/2019 J3 (ATLAS)",1.0007,2.374,131.41,270.52,16.55,,2019-08-01.8,,HYP,284,,270,,3.4e-07,,,
"     C/2019 JU6 (ATLAS)",0.9994,2.046,148.29,21.70,94.92,6786.50,2019-06-01.0,1.98e+05,COM,40,,76,,,,,
"     C/2019 K1 (ATLAS)",1.0006,2.013,87.16,73.38,265.68,,2020-02-12.8,,HYP,468,,274,,,,,
"     C/2019 K4 (Ye)",0.9991,2.259,105.31,180.17,139.77,4811.66,2019-06-16.4,1.18e+05,COM,222,,609,,,,,
"     C/2019 K5 (Young)",0.9865,2.035,15.32,177.19,174.92,300.23,2019-06-22.7,1.86e+03,COM,643,,734,,,,,
"     C/2019 K6 (PANSTARRS)",0.9976,3.929,132.39,42.93,187.58,3222.61,2020-05-20.0,6.48e+04,COM,676,,360,,,,,
"     C/2019 K7 (Smith)",1.0000,4.475,103.54,307.93,27.31,666730.23,2020-06-16.9,1.92e+08,COM,2370,,2719,,,,,
"     C/2019 K8 (ATLAS)",0.9977,3.195,93.22,291.05,85.35,2812.60,2019-07-21.2,5.28e+04,COM,358,,1385,,,,,
"     C/2019 L1 (PANSTARRS)",0.7066,2.890,9.99,254.41,49.92,16.81,2019-08-11.2,30.9,JFc,154,4,103,,,,,
"     C/2019 L2 (NEOWISE)",0.9368,1.622,152.19,12.53,18.82,49.66,2019-04-02.0,130,HTC,19,7,117,,,,,
"     P/2019 LD2 (ATLAS)",0.1337,4.578,11.57,179.67,123.44,5.99,2020-04-09.6,12.1,JFc,2020,2,748,,,,,
"     C/2019 L3 (ATLAS)",1.0014,3.554,48.36,290.79,171.61,,2022-01-09.6,,HYP,1877,,6478,,,,,
"     P/2019 LM4 (Palomar)",0.5852,2.372,36.39,72.86,68.37,9.06,2019-06-18.2,13.7,JFc,378,4,244,,,,,
"     C/2019 LB7 (Kleyna)",0.9293,2.483,164.23,3.29,335.89,67.76,2019-03-27.2,208,COM,51,7,16,,,,,
"     C/2019 M3 (ATLAS)",1.0022,2.418,99.44,154.90,87.94,,2019-01-03.0,,HYP,117,,340,,,,,
"     C/2019 M4 (TESS)",1.0045,9.181,65.71,52.57,260.25,,2019-09-10.2,,HYP,178,,88,,,,,
"     C/2019 N1 (ATLAS)",0.9999,1.705,82.42,13.58,193.45,26271.66,2020-12-01.8,1.51e+06,COM,1179,,1994,,3.4e-08,1.3e-08,-3.6e-09,
"     C/2019 NJ3 (Lemmon)",1.0008,4.362,99.44,142.45,246.83,,2020-10-22.1,,HYP,624,,53,,,,,
"     C/2019 O2 (PANSTARRS)",0.8311,9.683,93.29,48.31,129.66,104.98,2023-04-07.7,434,COM,4649,2,484,,,,,
"     C/2019 O3 (Palomar)",1.0036,8.820,89.82,300.39,60.10,,2021-03-08.8,,HYP,1971,,2135,,,,,
"     C/2019 Q1 (Lemmon)",1.0009,4.997,155.72,42.34,55.92,,2020-07-19.6,,HYP,937,,248,,,,,
"     C/2019 Q3 (PANSTARRS)",1.0047,7.250,65.54,151.33,152.63,,2018-08-20.7,,HYP,65,,85,,,,,
"     C/2019 Q4 (Borisov)",3.3565,2.007,44.05,308.15,209.12,,2019-12-08.5,,HYP,584,,964,,4.9e-08,1.9e-08,2.8e-09,-65.1
"     P/2019 S2 (PANSTARRS)",0.2067,3.755,10.47,93.12,216.74,5.71,2019-02-20.8,10.3,JFc,86,5,29,,,,,
"     P/2019 S3 (PANSTARRS)",0.4706,1.807,8.69,150.17,212.95,5.02,2019-08-26.0,6.31,JFc,67,4,61,,,,,
"     C/2019 S4 (Lemmon)",0.9858,3.442,92.03,63.17,71.35,481.94,2020-04-07.9,3.78e+03,COM,726,,267,,,,,
"     C/2019 T2 (Lemmon)",0.9987,2.646,111.49,155.64,239.39,4137.54,2021-04-22.2,9.42e+04,COM,1388,,187,,,4.0e-08,,
"     C/2019 T3 (ATLAS)",0.9981,5.947,121.86,139.52,112.29,6308.51,2021-03-02.8,1.77e+05,COM,1684,,1828,,,,,
"     C/2019 T4 (ATLAS)",0.9956,4.242,53.63,199.94,351.18,1933.61,2022-06-08.9,3.02e+04,COM,2107,,5472,,,,,
"     C/2019 T5 (ATLAS)",0.8092,1.529,33.42,247.70,189.62,14.50,2019-08-01.1,22.7,HTC,139,5,80,,,,,
"     P/2019 T6 (PANSTARRS)",0.6222,2.052,18.70,71.31,328.91,8.81,2019-11-07.7,12.7,JFc,129,4,229,,,,,
"     P/2019 U4 (PANSTARRS)",0.4752,1.847,11.69,200.04,180.96,5.19,2019-09-18.3,6.6,JFc,34,6,53,,,,,
"     C/2019 U5 (PANSTARRS)",1.0014,3.624,113.52,2.64,181.52,,2023-03-29.9,,HYP,1855,,5036,,,-1.7e-08,,
"     C/2019 U6 (Lemmon)",0.9979,0.914,61.00,235.71,329.66,871.14,2020-06-18.8,9.1e+03,COM,753,,1144,,,,,
"     C/2019 V1 (Borisov)",0.9990,3.097,61.87,83.21,51.21,6342.78,2020-07-16.5,1.79e+05,COM,482,,111,,,,,
"     P/2019 V2 (Groeller)",0.3323,5.021,11.80,189.18,336.05,10.02,2020-10-20.2,20.6,JFc,941,4,115,,,,,
"     P/2019 W1 (PANSTARRS)",0.2660,3.340,23.46,35.43,18.75,5.76,2019-05-08.0,9.71,JFc,499,4,78,,,,,
"     P/2019 X1 (Pruyne)",0.3026,4.306,10.25,43.73,36.93,8.04,2019-07-22.4,15.3,JFc,6010,2,137,,,,,
"     P/2019 X2 (PANSTARRS)",0.4993,1.824,15.88,250.86,213.56,5.46,2019-12-09.3,6.95,JFc,45,6,49,,,,,
"     C/2019 Y1 (ATLAS)",0.9965,0.838,73.35,31.37,57.50,478.99,2020-03-15.5,3.72e+03,COM,208,,1010,,,1.1e-08,,
"     P/2019 Y3 (Catalina)",0.6958,0.912,24.64,139.38,2.27,5.08,2019-12-13.4,5.19,JFc,41,6,84,,,,,
"     C/2019 Y4 (ATLAS)",0.9992,0.253,45.38,120.57,177.41,652.22,2020-05-31.0,5.89e+03,COM,148,,1259,,5.2e-08,9.2e-09,,
"     C/2019 Y4-A (ATLAS)",1.0020,0.250,45.95,121.03,177.20,,2020-05-31.0,,HYP,27,,468,,,,,
"     C/2019 Y4-B (ATLAS)",0.9998,0.253,45.46,120.62,177.37,3045.07,2020-05-31.0,5.94e+04,COM,49,,1067,,,,,
"     C/2019 Y4-C (ATLAS)",1.0017,0.252,45.57,120.63,177.29,,2020-05-31.0,,HYP,26,,425,,,,,
"     C/2019 Y4-D (ATLAS)",0.9887,0.255,44.82,120.58,177.80,45.02,2020-05-31.1,108,HTC,8,9,76,,,,,
"     C/2019 Y5 (PANSTARRS)",0.9939,4.914,82.83,51.78,303.50,1611.37,2019-08-18.1,2.3e+04,COM,668,,70,,,,,
"     C/2020 A2 (Iwamoto)",0.9991,0.978,120.75,286.38,68.21,2119.84,2020-01-08.3,3.45e+04,COM,104,,529,,,,,
"     C/2020 A3 (ATLAS)",0.9989,5.767,146.70,120.79,268.41,10504.68,2019-06-28.8,3.81e+05,COM,1368,,94,,,,,
"     P/2020 A4 (PANSTARRS-Lemmon)",0.6537,2.843,24.99,312.43,144.88,13.57,2019-11-22.7,23.5,JFc,459,3,106,,,,,
"     C/2020 B2 (Lemmon)",0.9592,2.768,55.70,354.34,143.63,132.99,2020-01-26.2,559,COM,100,4,106,,,,,
"     C/2020 B3 (Rankin)",0.9983,3.344,20.70,185.82,325.09,3858.72,2019-10-19.8,8.49e+04,JFc,194,,185,,,,,
"     P/2020 B4 (Sheppard)",0.1925,6.439,11.60,186.00,342.46,9.51,2021-11-25.3,22.5,CTc,1545,4,20,,,,,
"     C/2020 F2 (ATLAS)",1.0048,8.817,163.58,250.27,48.36,,2022-07-15.9,,HYP,1830,,1627,,,,,
"     C/2020 F3 (NEOWISE)",0.9992,0.295,128.94,61.01,37.28,716.64,2020-07-03.6,6.79e+03,COM,438,,1315,,,,,
"     C/2020 F5 (MASTER)",0.9951,4.325,52.26,350.53,311.00,1758.19,2021-03-22.4,2.62e+04,COM,1663,,1861,,,,,
"     C/2020 F6 (PANSTARRS)",0.9908,3.511,174.58,207.88,344.59,760.12,2020-04-11.5,7.46e+03,COM,297,,102,,,,,
"     C/2020 F7 (Lemmon)",0.9931,5.332,93.95,321.89,227.99,1540.13,2021-11-14.1,2.15e+04,COM,1446,,608,,,,,
"     C/2020 F8 (SWAN)",0.9999,0.430,110.80,260.03,68.19,13284.79,2020-05-27.5,5.41e+05,COM,42,,376,,1.5e-07,-2.6e-08,,
"     P/2020 G1 (Pimentel)",0.8596,0.506,18.47,240.11,207.64,6.70,2020-03-17.4,6.84,JFc,97,5,490,,,,,
"     C/2020 H2 (Pruyne)",0.9954,0.834,125.04,277.63,26.69,365.45,2020-04-27.5,2.48e+03,COM,43,,120,,,,,
"     C/2020 H3 (Wierzchos)",1.0022,2.304,62.37,270.57,29.61,,2020-06-03.5,,HYP,123,,131,,,,,
"     C/2020 H4 (Leonard)",0.9933,0.938,84.32,307.77,116.77,280.01,2020-08-29.2,1.66e+03,COM,42,,37,,,,,
"     C/2020 H5 (Robinson)",0.9973,9.345,70.23,210.63,326.41,6857.84,2020-12-12.0,2.01e+05,COM,3071,,277,,,,,
"     C/2020 H6 (ATLAS)",1.0006,4.703,79.97,213.71,20.34,,2021-10-01.0,,HYP,1356,,2087,,,,,
"     C/2020 H7 (Lemmon)",0.9994,4.420,135.92,323.53,82.77,15430.08,2020-06-03.5,6.78e+05,COM,137,,174,,,,,
"     C/2020 H8 (PANSTARRS)",0.9924,4.675,99.65,68.41,128.90,1221.45,2020-06-04.1,1.52e+04,COM,407,,199,,,,,
"     C/2020 H11 (PANSTARRS-Lemmon)",0.9993,7.631,151.41,303.01,91.49,20934.67,2020-09-15.4,1.07e+06,COM,706,,53,,,,,
"     C/2020 J1 (SONEAR)",1.0004,3.355,142.30,226.58,341.76,,2021-04-18.6,,HYP,1117,,1423,,1.9e-08,-2.4e-08,-1.7e-08,
"     C/2020 K1 (PANSTARRS)",0.9999,3.074,89.66,94.36,213.98,58095.33,2023-05-09.0,4.95e+06,COM,1670,,3437,,1.8e-08,-2.3e-08,2.5e-09,
"     C/2020 K2 (PANSTARRS)",1.0013,8.878,91.04,288.34,67.27,,2020-08-04.7,,HYP,403,,87,,,,,
"     C/2020 K3 (Leonard)",0.9924,1.593,128.72,27.93,62.70,418.94,2020-05-30.1,3.05e+03,COM,323,,212,,,,,
"     C/2020 K4 (PANSTARRS)",0.9612,1.773,125.91,264.11,310.29,89.65,2020-03-06.5,309,COM,117,5,48,,,,,
"     C/2020 K5 (PANSTARRS)",1.0013,1.535,67.16,86.16,249.60,,2021-06-05.5,,HYP,410,,95,,,,,
"     C/2020 K6 (Rankin)",1.0032,5.868,103.65,291.53,44.31,,2021-09-15.5,,HYP,1125,,180,,,,,
"     C/2020 K7 (PANSTARRS)",0.9416,6.384,32.07,286.11,358.13,212.27,2019-10-28.7,1.14e+03,JFc,1212,,114,,,,,
"     C/2020 K8 (Catalina-ATLAS)",1.0002,0.475,31.41,181.52,260.06,,2020-09-14.5,,HYP,316,,291,,9.2e-09,7.0e-10,,
"     P/2020 K9 (Lemmon-PANSTARRS)",0.3221,2.850,23.20,166.24,196.83,5.56,2021-02-11.6,8.62,JFc,205,4,133,,,,,
"     P/2020 M1 (PANSTARRS)",0.4769,2.661,8.63,142.96,67.85,7.51,2019-12-21.1,11.5,JFc,538,5,51,,,,,
"     C/2020 M3 (ATLAS)",0.9527,1.268,23.47,71.25,328.45,52.37,2020-10-25.6,139,HTC,348,3,2344,,,,,
"     P/2020 MK4 (PANSTARRS)",0.0205,6.024,6.69,1.89,169.99,6.28,2015-05-06.4,15.3,CTc,445,4,147,,,,,
"     C/2020 M5 (ATLAS)",0.9999,3.004,93.22,352.10,126.34,118006.09,2021-08-19.8,1.43e+07,COM,1297,,1605,,,,,
"     C/2020 N1 (PANSTARRS)",1.0005,1.321,29.70,279.98,186.77,,2021-03-12.2,,HYP,287,,856,,,,,
"     C/2020 N2 (ATLAS)",0.9824,1.794,161.03,257.08,331.23,201.99,2020-08-23.7,1.03e+03,COM,252,,88,,,,,
"     C/2020 O2 (Amaral)",1.0023,4.862,71.75,256.76,10.31,,2021-08-28.6,,HYP,1155,,1595,,,,,
"     P/2020 O3 (PANSTARRS)",0.1061,4.167,8.44,266.90,81.21,5.16,2021-01-27.8,10.1,JFc,129,4,71,,,,,
"     C/2020 P1 (NEOWISE)",1.0003,0.342,45.05,53.54,8.89,,2020-10-20.1,,HYP,129,,136,,,,,
"     C/2020 P3 (ATLAS)",0.9991,6.812,61.88,19.48,82.25,15910.76,2021-04-20.8,7.1e+05,COM,1342,,698,,,,,
"     C/2020 P4-A",1.0020,0.091,26.33,175.22,177.46,,2020-08-08.2,,HYP,4,,498,,,,,
"     C/2020 P4-B",0.9092,0.093,28.15,173.43,171.61,1.95,2020-08-08.0,1.03,ETc,1,9,80,,,,,
"     C/2020 P4-C",0.9394,0.084,37.56,165.26,116.42,2.70,2020-08-06.8,1.64,ETc,,9,29,,,,,
"     C/2020 PV6 (PANSTARRS)",0.9450,2.296,128.24,329.14,71.38,81.11,2021-09-25.9,269,COM,671,2,1749,,,3.6e-08,,
"     C/2020 Q1 (Borisov)",0.9779,1.315,142.92,52.38,9.88,117.62,2020-08-14.6,459,COM,69,6,280,,,,,
"     C/2020 Q2 (PANSTARRS)",0.5056,5.399,3.31,179.95,118.45,16.44,2020-02-06.4,36.1,JFc,461,4,49,,,,,
"     C/2020 R2 (PANSTARRS)",0.9887,4.692,53.22,195.09,211.71,822.13,2022-02-24.3,8.41e+03,COM,827,,386,,,,,
"     C/2020 R4 (ATLAS)",0.9894,1.029,164.46,323.27,46.71,192.40,2021-03-01.9,951,COM,549,3,2399,,2.2e-08,5.9e-09,-7.1e-10,
"     P/2020 R5 (PANSTARRS)",0.3145,3.413,11.45,272.97,82.31,6.54,2020-05-28.1,11.1,JFc,531,4,101,,,,,
"     C/2020 R6 (Rankin)",0.9922,3.130,82.81,12.18,272.01,800.46,2019-09-09.9,8.05e+03,COM,526,,56,,,,,
"     C/2020 R7 (ATLAS)",1.0002,2.956,114.89,268.28,347.84,,2022-09-16.2,,HYP,1702,,1812,,,,,
"     P/2020 S1 (PANSTARRS)",0.5072,2.947,13.73,129.46,254.87,9.01,2021-01-16.8,14.6,JFc,72,5,33,,,,,
