"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"  247P/LINEAR",0.6256,1.484,13.68,54.12,47.34,6.45,2011-01-04.1,7.9,JFc,5998,0,1346,,,,,
"  248P/Gibbs",0.6412,2.147,6.37,207.79,209.91,9.82,2011-02-08.7,14.6,JFc,5301,0,160,,,,,
"  249P/LINEAR",0.8187,0.502,8.40,239.85,64.81,5.04,2015-11-26.7,4.61,JFc,5205,0,884,,,,,
"  250P/Larson",0.4074,2.212,13.30,73.74,44.93,5.25,2010-11-14.9,7.21,JFc,10520,0,477,,,,,
"  251P/LINEAR",0.5098,1.712,23.51,219.55,30.91,5.27,2004-06-19.0,6.53,JFc,7447,0,431,,,2.5e-10,,
"  252P/LINEAR",0.6731,0.996,10.42,190.95,343.31,5.10,2016-03-15.2,5.32,JFc,1972,3,122,,1.1e-08,-7.2e-09,,
"  253P/PANSTARRS",0.4129,2.037,4.94,146.88,230.74,4.90,2018-05-07.7,6.46,JFc,9554,1,745,,-1.3e-09,-6.1e-11,,
"  254P/McNaught",0.3204,3.137,32.57,129.17,219.46,6.10,2020-09-29.5,9.92,JFc,15863,0,815,,,2.1e-08,,
"  255P/Levy",0.6720,0.992,18.33,279.78,179.59,5.06,2006-10-07.3,5.26,JFc,5484,0,503,,7.2e-09,-4.0e-09,,
"  256P/LINEAR",0.4194,2.689,27.63,81.44,124.12,6.57,2013-03-17.5,9.97,JFc,7467,0,270,,,1.4e-09,,
"  257P/Catalina",0.4324,2.131,20.24,207.85,117.88,5.38,2013-06-04.4,7.27,JFc,6073,0,2118,,-1.1e-09,-3.1e-10,,
"  258P/PANSTARRS",0.2104,3.478,6.75,126.29,26.01,5.33,2020-06-18.0,9.24,JFc,7008,1,80,,,,,
"  259P/Garradd",0.3415,1.796,15.90,51.97,256.59,3.66,2013-01-25.2,4.5,ETc,3306,0,68,,,,,
"  260P/McNaught",0.5943,1.491,15.77,351.86,15.58,5.86,2012-09-12.5,7.05,JFc,5394,0,6700,,1.9e-10,-1.5e-11,1.0e-10,
"  261P/Larson",0.3919,2.184,6.34,298.43,58.97,5.00,2012-09-30.1,6.81,JFc,5337,0,1017,,3.9e-09,8.8e-10,,
"  262P/McNaught-Russell",0.8154,1.280,29.08,218.01,171.17,12.59,2012-12-04.4,18.3,JFC,6706,0,1339,,,,,
"  263P/Gibbs",0.5878,1.261,11.54,105.81,34.57,4.86,2017-09-29.8,5.35,JFc,6084,0,771,,,,,
"  264P/Larsen",0.3737,2.438,25.15,220.97,346.62,5.35,2004-03-13.2,7.68,JFc,5541,1,112,,,,,
"  265P/LINEAR",0.6460,1.505,14.69,344.71,32.72,7.00,2003-09-05.8,8.77,JFc,3252,0,539,,,,,
"  266P/Christensen",0.3396,2.332,3.43,5.00,98.01,4.73,2020-04-19.8,6.64,ETc,2801,1,520,,2.5e-08,1.6e-08,,
"  267P/LONEOS",0.5934,1.338,5.37,245.25,96.86,5.24,2006-09-02.9,5.97,JFc,4463,0,197,,,-3.5e-11,,
